Case_ID,HD95_WT,HD95_TC,HD95_ET
BRATS_195,2.449489742783178,3.0,2.23606797749979
BRATS_196,1.7320508075688772,1.4142135623730951,1.4142135623730951
BRATS_197,3.0,3.1622776601683795,2.0
BRATS_198,1.4142135623730951,3.0,1.4142135623730951
BRATS_199,1.7320508075688772,2.8284271247461903,2.449489742783178
BRATS_200,2.8284271247461903,2.0,1.4142135623730951
BRATS_201,1.4142135623730951,1.4142135623730951,2.0
BRATS_202,1.4142135623730951,2.23606797749979,1.0
BRATS_203,33.70161907862054,6.4031242374328485,2.23606797749979
BRATS_204,3.4641016151377544,1.4142135623730951,1.4142135623730951
BRATS_205,1.4142135623730951,1.4142135623730951,1.0
BRATS_206,5.744562646538029,1.4142135623730951,1.4142135623730951
BRATS_207,3.0,3.0,3.0
BRATS_208,2.0,2.449489742783178,2.0
BRATS_209,2.23606797749979,1.4142135623730951,1.0
BRATS_210,2.23606797749979,2.8284271247461903,2.0
BRATS_211,1.7320508075688772,1.0,1.0
BRATS_212,4.123105625617661,7.0710678118654755,2.23606797749979
BRATS_213,12.328828005937952,4.69041575982343,1.4142135623730951
BRATS_214,1.0,2.23606797749979,2.23606797749979
BRATS_215,2.23606797749979,2.8284271247461903,1.4142135623730951
BRATS_216,6.324555320336759,2.8284271247461903,2.23606797749979
BRATS_217,1.7320508075688772,1.4142135623730951,1.0
BRATS_218,5.385164807134504,2.23606797749979,1.4142135623730951
BRATS_219,11.40175425099138,1.4142135623730951,1.0
BRATS_220,5.0990195135927845,2.8284271247461903,1.4142135623730951
BRATS_221,1.4142135623730951,2.23606797749979,1.7320508075688772
BRATS_222,1.7320508075688772,4.0,2.0
BRATS_223,1.0,1.4142135623730951,1.4142135623730951
BRATS_224,1.4142135623730951,2.0,1.4142135623730951
BRATS_225,1.4142135623730951,2.8284271247461903,3.7416573867739413
BRATS_226,2.23606797749979,1.4142135623730951,1.4142135623730951
BRATS_227,10.862780491200215,2.449489742783178,2.23606797749979
BRATS_228,5.0990195135927845,1.0,1.0
BRATS_229,1.4142135623730951,1.4142135623730951,1.0
BRATS_230,1.0,1.0,1.0
BRATS_231,1.0,2.23606797749979,2.8284271247461903
BRATS_232,2.23606797749979,14.866068747318506,32.4037034920393
BRATS_233,1.4142135623730951,2.0,1.4142135623730951
BRATS_234,2.0,2.449489742783178,5.0
BRATS_235,2.0,1.4142135623730951,1.4142135623730951
BRATS_236,5.477225575051661,7.3484692283495345,7.681145747868608
BRATS_237,5.0990195135927845,5.0990195135927845,1.4142135623730951
BRATS_238,9.219544457292887,2.0,8.18535277187245
BRATS_239,9.9498743710662,5.0,2.8284271247461903
BRATS_240,3.605551275463989,4.242640687119285,6.782329983125268
BRATS_241,1.7320508075688772,2.23606797749979,2.23606797749979
BRATS_242,4.58257569495584,4.58257569495584,2.23606797749979
BRATS_243,2.8284271247461903,36.069377593742864,31.38470965295043
BRATS_244,1.4142135623730951,3.0,2.449489742783178
BRATS_245,6.164414002968976,3.7416573867739413,4.58257569495584
